date,time,DOY,TimeStamp,CH4
4/18/2017,16:00,108.666,4/18/2017 16:00,NaN
4/18/2017,16:30,108.687,4/18/2017 16:30,NaN
4/18/2017,17:00,108.708,4/18/2017 17:00,NaN
4/18/2017,17:30,108.729,4/18/2017 17:30,NaN
4/18/2017,18:00,108.749,4/18/2017 18:00,NaN
4/18/2017,18:30,108.77,4/18/2017 18:30,NaN
4/18/2017,19:00,108.791,4/18/2017 19:00,NaN
4/18/2017,19:30,108.812,4/18/2017 19:30,NaN
4/18/2017,20:00,108.833,4/18/2017 20:00,NaN
4/18/2017,20:30,108.854,4/18/2017 20:30,NaN
4/18/2017,21:00,108.874,4/18/2017 21:00,NaN
4/18/2017,21:30,108.895,4/18/2017 21:30,NaN
4/18/2017,22:00,108.916,4/18/2017 22:00,NaN
4/18/2017,22:30,108.937,4/18/2017 22:30,NaN
4/18/2017,23:00,108.958,4/18/2017 23:00,NaN
4/18/2017,23:30,108.979,4/18/2017 23:30,NaN
4/19/2017,0:00,109,4/19/2017 0:00,NaN
4/19/2017,0:30,109.02,4/19/2017 0:30,NaN
4/19/2017,1:00,109.041,4/19/2017 1:00,NaN
4/19/2017,1:30,109.062,4/19/2017 1:30,NaN
4/19/2017,2:00,109.083,4/19/2017 2:00,NaN
4/19/2017,2:30,109.104,4/19/2017 2:30,NaN
4/19/2017,3:00,109.124,4/19/2017 3:00,NaN
4/19/2017,3:30,109.145,4/19/2017 3:30,NaN
4/19/2017,4:00,109.166,4/19/2017 4:00,NaN
4/19/2017,4:30,109.187,4/19/2017 4:30,NaN
4/19/2017,5:00,109.208,4/19/2017 5:00,NaN
4/19/2017,5:30,109.229,4/19/2017 5:30,NaN
4/19/2017,6:00,109.249,4/19/2017 6:00,NaN
4/19/2017,6:30,109.27,4/19/2017 6:30,NaN
4/19/2017,7:00,109.291,4/19/2017 7:00,NaN
4/19/2017,7:30,109.312,4/19/2017 7:30,NaN
4/19/2017,8:00,109.333,4/19/2017 8:00,NaN
4/19/2017,8:30,109.354,4/19/2017 8:30,NaN
